Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,,,,Event[Sponsors],Event[Publisher]
International Conference on Artificial Intelligence and Statistics,2019,AISTATS 2019,AISTATS,16-Apr-2019,18-Apr-2019,,,,Naha,Okinawo,Japan,Artificial Intelligence and Statistics,Conference,https://www.aistats.org/,,,,,,PMLR
International Conference on Artificial Intelligence and Statistics,2018,AISTATS 2018,AISTATS,9-Apr-2018,11-Apr-2018,,,,Lanzarote,Canary Island,spain,Artificial Intelligence and Statistics,Conference,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=67269&copyownerid=74076,,,,,IBM Research,PMLR
International Conference on Artificial Intelligence and Statistics,2017,AISTATS 2017,AISTATS,20-Apr-2017,22-Apr-2017,526,167,31.75%,Fort Lauderdale,Florida,USA,Artificial Intelligence and Statistics,Conference,https://www.aistats.org/aistats2017/,,,,,Google,PMLR
International Conference on Artificial Intelligence and Statistics,2016,AISTATS 2016,AISTATS,9-May-2016,11-May-2016,537,165,30.73%,Cadiz,,spain,Artificial Intelligence and Statistics,Conference,https://www.aistats.org/aistats2016/,,,,,Google,PMLR
International Conference on Artificial Intelligence and Statistics,2015,AISTATS 2015,AISTATS,9-May-2015,12-May-2015,442,127,28.73%,San Deigo,California,USA,Artificial Intelligence and Statistics,Conference,https://www.aistats.org/aistats2015/,,,,,Google,PMLR
International Conference on Artificial Intelligence and Statistics,2014,AISTATS 2014,AISTATS,22-Apr-2014,25-Apr-2014,335,120,35.82%,Reykjavik,,Iceland,Artificial Intelligence and Statistics,Conference,https://www.aistats.org/aistats2014/,,,,,Amazon,PMLR
International Conference on Artificial Intelligence and Statistics,2013,AISTATS 2013,AISTATS,29-Apr-2013,1-May-2013,211,71,33.65%,Scottsdale,,USA,Artificial Intelligence and Statistics,Conference,http://www.cs.utexas.edu/~aistats/,,,,,Google,PMLR
International Conference on Artificial Intelligence and Statistics,2012,AISTATS 2012,AISTATS,21-Apr-2012,23-Apr-2012,400,134,33.50%,La Palma,,Canary Islands,Artificial Intelligence and Statistics,Conference,https://www.aistats.org/aistats2012/,,,,,Google,PMLR
International Conference on Artificial Intelligence and Statistics,2011,AISTATS 2011,AISTATS,11-Apr-2011,13-Apr-2011,272,77,28.31%,Ft. Lauderdale,,USA,Artificial Intelligence and Statistics,Conference,https://www.aistats.org/aistats2011/,,,,,Google,PMLR
International Conference on Artificial Intelligence and Statistics,2010,AISTATS 2010,AISTATS,13-May-2010,15-May-2010,308,125,40.58%,Sardinia,,Italy,Artificial Intelligence and Statistics,Conference,https://www.aistats.org/aistats2010/,,,,,Google,PMLR
International Workshops of Artificial Intelligence and Statistics,2009,AISTATS 2009,AISTATS,17-Apr-2009,20-Apr-2009,210,74,35.24%,Clearwaterbeach,,USA,Artificial Intelligence and Statistics,Workshops,https://www.ics.uci.edu/~aistats/,,,,,Nokia,PMLR
International Workshops of Artificial Intelligence and Statistics,2007,AISTATS 2007,AISTATS,21-Mar-2007,24-Mar-2007,150,85,56.67%,San Juan,,USA,Artificial Intelligence and Statistics,Workshops,https://dblp.org/db/journals/jmlr/jmlrp2.html,,,,,,PMLR
International Workshops of Artificial Intelligence and Statistics,2005,AISTATS 2005,AISTATS,6-Jan-2005,8-Jan-2005,150,51,34.00%,,,Barbados,Artificial Intelligence and Statistics,Workshops,http://www.gatsby.ucl.ac.uk/aistats/,,,,,,PMLR
International Workshops of Artificial Intelligence and Statistics,2003,AISTATS 2003,AISTATS,3-Jan-2003,6-Jan-2003,,,,Key West,Florida,USA,Artificial Intelligence and Statistics,Workshops,https://dblp.org/db/conf/aistats/aistats2003,,,,,,PMLR
International Workshops of Artificial Intelligence and Statistics,2001,AISTATS 2001,AISTATS,4-Jan-2001,7-Jan-2001,,,,Key West,Florida,USA,Artificial Intelligence and Statistics,Workshops,http://www.gatsby.ucl.ac.uk/aistats/aistats2001/index.html,,,,,,PMLR
International Conference on Artificial Intelligence and Statistics,1999,AISTATS 1999,AISTATS,4-Jan-1999,6-Jan-1999,,,,Fort Lauderdale,Florida,USA,Artificial Intelligence and Statistics,Workshops,http://web.archive.org/web/20011127034211/http://uncertainty99.microsoft.com:80/,,,,,,PMLR
International Conference on Artificial Intelligence and Statistics,1997,AISTATS 1997,AISTATS,4-Jan-1997,7-Jan1997,,,,Fort Lauderdale,Florida,USA,Artificial Intelligence and Statistics,Workshops,http://web.archive.org/web/20011127035343/http://www.stat.washington.edu:80/aistats97/,,,,,,PMLR
International Conference on Artificial Intelligence and Statistics,1995,AISTATS 1995,AISTATS,5-Jan-1995,8-Jan1995,,,,Fort Lauderdale,Florida,USA,Artificial Intelligence and Statistics,Workshops,http://web.archive.org/web/20011127034212/http://www.vuse.vanderbilt.edu:80/~dfisher/ai-stats/fifth-workshop/overview.html,,,,,,PMLR
International Conference on Artificial Intelligence and Statistics,1993,AISTATS 1993,AISTATS,3-Jan-1993,6-Jan-1993,,,,Fort Lauderdale,Florida,USA,Artificial Intelligence and Statistics,Workshops,http://www.gatsby.ucl.ac.uk/aistats/workshops.html,,,,,,PMLR
International Conference on Artificial Intelligence and Statistics,1991,AISTATS 1991,AISTATS,3-Jan-1991,5-Jan-1991,,,,Fort Lauderdale,Florida,USA,Artificial Intelligence and Statistics,Conference,http://www.gatsby.ucl.ac.uk/aistats/workshops.html,,,,,,PMLR
International Conference on Artificial Intelligence and Statistics,1989,AISTATS 1989,AISTATS,,,,,,Fort Lauderdale,Florida,USA,Artificial Intelligence and Statistics,Conference,http://www.gatsby.ucl.ac.uk/aistats/workshops.html,,,,,,PMLR
International Conference on Artificial Intelligence and Statistics,1985,AISTATS 1985,AISTATS,,,,,,princeton,NewJersy,USA,Artificial Intelligence and Statistics,Conference,http://www.gatsby.ucl.ac.uk/aistats/workshops.html,,,,,,PMLR
