Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsors]
 International Conference on the Theory and Applications of Cryptographic Techniques,2018,EuroCrypt 2018,EuroCrypt,29-Apr-2018,3-May-2018,,,,Tel Aviv,,Isreal,Cryptographic Techniques,Conference,eurocrypt.iacr.org/2018/,Springer,arm
 International Conference on the Theory and Applications of Cryptographic Techniques,2017,EuroCrypt 2017,EuroCrypt,30-Apr-2017,4-May-2017,264,67,25.4%,Paris,,France,Cryptographic Techniques,Conference,eurocrypt2017.di.ens.fr/,Springer,THALES
 International Conference on the Theory and Applications of Cryptographic Techniques,2016,EuroCrypt 2016,EuroCrypt,8-May-2016,12-May-2016,274,62,22.6%,Vienna,,Austria,Cryptographic Techniques,Conference,ist.ac.at/eurocrypt2016/,Springer,intel
 International Conference on the Theory and Applications of Cryptographic Techniques,2015,EuroCrypt 2015,EuroCrypt,26-Apr-2015,30-Apr-2015,194,57,29.4%,Sofia,,Bulgaria,Cryptographic Techniques,Conference,www.cosic.esat.kuleuven.be/eurocrypt_2015/,Springer,google
 International Conference on the Theory and Applications of Cryptographic Techniques,2014,EuroCrypt 2014,EuroCrypt,11-May-2014,15-May-2014,197,38,19.3%,Copenhagen,,Denmark,Cryptographic Techniques,Conference,ec14.compute.dtu.dk/,Springer,google
 International Conference on the Theory and Applications of Cryptographic Techniques,2013,EuroCrypt 2013,EuroCrypt,26-May-2013,30-May-2013,201,41,20.4%,Athens,,Greece,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2013/,Springer,intel
 International Conference on the Theory and Applications of Cryptographic Techniques,2012,EuroCrypt 2012,EuroCrypt,15-Apr-2012,19-Apr-2012,195,41,21.0%,Cambridge,,UK,Cryptographic Techniques,Conference,www.cs.bris.ac.uk/eurocrypt2012/,Springer,CESG
 International Conference on the Theory and Applications of Cryptographic Techniques,2011,EuroCrypt 2011,EuroCrypt,15-May-2011,19-May-2011,167,31,18.6%,Tallinn,,Estonia,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2011/,Springer,Qualcomm
 International Conference on the Theory and Applications of Cryptographic Techniques,2010,EuroCrypt 2010,EuroCrypt,30-May-2010,3-Jun-2010,188,35,18.6%,French Riviera,,France,Cryptographic Techniques,Conference,crypto.rd.francetelecom.com/events/eurocrypt2010/,Springer,Qualcomm
 International Conference on the Theory and Applications of Cryptographic Techniques,2009,EuroCrypt 2009,EuroCrypt,26-Apr-2009,30-Apr-2009,148,33,22.3%,Cologne,,Germany,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2009/,Springer,NXP
 International Conference on the Theory and Applications of Cryptographic Techniques,2008,EuroCrypt 2008,EuroCrypt,13-Apr-2008,17-Apr-2008,163,31,19.0%,Istanbul,,Turkey,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2008/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,2007,EuroCrypt 2007,EuroCrypt,20-May-2007,24-May-2007,173,33,19.1%,Barcelona,,Spain,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2007/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,2006,EuroCrypt 2006,EuroCrypt,28-May-2006,1-Jun-2006,198,33,16.7%,St. Petersburg,,Russia,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2006/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,2005,EuroCrypt 2005,EuroCrypt,22-May-2005,26-May-2005,190,33,17.4%,Aarhus,,Denmark,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2005/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,2004,EuroCrypt 2004,EuroCrypt,2-May-2004,6-May-2004,206,36,17.5%,Interlaken,,Switzerland,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2004/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,2003,EuroCrypt 2003,EuroCrypt,4-May-2003,8-May-2003,156,37,23.7%,Warsaw,,Poland,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2003/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,2002,EuroCrypt 2002,EuroCrypt,28-Apr-2002,2-May-2002,122,33,27.0%,Amsterdam,,Netherlands,Cryptographic Techniques,Conference,www.ec2002.tue.nl/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,2001,EuroCrypt 2001,EuroCrypt,6-May-2001,10-May-2001,155,32,20.6%,Innsbruck,,Austria,Cryptographic Techniques,Conference,www.iacr.org/archive/eurocrypt2001/eurocrypt-2001.html,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,2000,EuroCrypt 2000,EuroCrypt,14-May-2000,18-May-2000,150,39,26.0%,Bruges,,Belgium,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2000/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,1999,EuroCrypt 1999,EuroCrypt,2-May-1999,6-May-1999,122,32,26.2%,Prague,,Czech Republic,Cryptographic Techniques,Conference,www.iacr.org/conferences/ec99/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,1998,EuroCrypt 1998,EuroCrypt,31-May-1998,4-Jun-1998,161,44,27.3%,Espoo,,Finland,Cryptographic Techniques,Conference,www.iacr.org/conferences/ec98/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,1997,EuroCrypt 1997,EuroCrypt,11-May-1997,15-May-1997,104,34,32.7%,Konstanz,,Germany,Cryptographic Techniques,Conference,www.iacr.org/conferences/ec97/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,1996,EuroCrypt 1996,EuroCrypt,12-May-1996,16-May-1996,126,34,27.0%,Saragossa,,Spain,Cryptographic Techniques,Conference,www.iacr.org/conferences/ec96/,Springer,
 International Conference on the Theory and Applications of Cryptographic Techniques,1995,EuroCrypt 1995,EuroCrypt,21-May-1995,25-May-1995,113,33,29.2%,Saint-Malo,,France,Cryptographic Techniques,Conference,www.iacr.org/conferences/ec95/,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1994,EuroCrypt 1994,EuroCrypt,9-May-1994,12-May-1994,137,36,26.3%,Perugia,,Italy,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1994&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1993,EuroCrypt 1993,EuroCrypt,23-May-1993,27-May-1993,117,27,23.1%,Lofthus,,Norway,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1993&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1992,EuroCrypt 1992,EuroCrypt,24-May-1992,28-May-1992,,45,,Balatonfüred,,Hungary,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1992&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1991,EuroCrypt 1991,EuroCrypt,8-Apr-1991,11-Apr-1991,,54,,Brighton,,UK,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1991&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1990,EuroCrypt 1990,EuroCrypt,21-May-1990,24-May-1990,85,42,49.4%,Aarhus,,Denmark,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1990&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1989,EuroCrypt 1989,EuroCrypt,10-Apr-1989,13-Apr-1989,,72,,Houthalen,,Belgium,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1989&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1988,EuroCrypt 1988,EuroCrypt,25-May-1988,27-May-1988,,40,,Davos,,Switzerland,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1988&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1987,EuroCrypt 1987,EuroCrypt,13-Apr-1987,15-Apr-1987,,,,Amsterdam,,Netherlands,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1987&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1986,EuroCrypt 1986,EuroCrypt,20-May-1986,22-May-1986,,,,Linköping,,Sweden,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1986&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1985,EuroCrypt 1985,EuroCrypt,9-Apr-1985,11-Apr-1985,,,,Linz,,Austria,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1985&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1984,EuroCrypt 1984,EuroCrypt,9-Apr-1984,11-Apr-1984,,,,Paris,,France,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1984&venue=eurocrypt,Springer,
"Workshop on the Theory and Application of Cryptographic Techniques,",1983,EuroCrypt 1983,EuroCrypt,,,,,,Udine,,Italy,Cryptographic Techniques,Conference,,Springer,
Workshop on Cryptography,1982,EuroCrypt 1982,EuroCrypt,29-Mar-1982,2-Apr-1982,,,,Burg Feuerstein,,Germany,Cryptographic Techniques,Conference,www.iacr.org/cryptodb/data/conf.php?year=1982&venue=eurocrypt,Springer,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
