Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor],,,,,,,,,
IEEE Symposium on Security and Privacy,2018,S&P 2018,S&P,21-May-2018,23-May-2018,,,,San Francisco,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2018/,IEEE,NSF,,,,,,,,,
IEEE Symposium on Security and Privacy,2017,S&P 2017,S&P,22-May-2017,26-May-2017,463,60,13.0%,San Jose,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2017/,IEEE,NSF,,,,,,,,,
IEEE Symposium on Security and Privacy,2016,S&P 2016,S&P,22-May-2016,26-May-2016,398,55,13.8%,San Jose,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2016/,IEEE,NSF,,,,,,,,,
IEEE Symposium on Security and Privacy,2015,S&P 2015,S&P,17-May-2015,21-May-2015,422,57,13.5%,San Jose,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2015/,IEEE,NSF,,,,,,,,,
IEEE Symposium on Security and Privacy,2014,S&P 2014,S&P,18-May-2014,21-May-2014,333,44,13.2%,Berkeley,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2014/,IEEE,NSF,,,,,,,,,
IEEE Symposium on Security and Privacy,2013,S&P 2013,S&P,19-May-2013,22-May-2013,315,38,12.1%,Berkeley,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2013/,IEEE,Google,,,,,,,,,
IEEE Symposium on Security and Privacy,2012,S&P 2012,S&P,21-May-2012,23-May-2012,307,40,13.0%,San Francisco,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2012/,IEEE,Google,,,,,,,,,
IEEE Symposium on Security and Privacy,2011,S&P 2011,S&P,22-May-2011,25-May-2011,306,34,11.1%,Berkeley,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2011/,IEEE,Google,,,,,,,,,
IEEE Symposium on Security and Privacy,2010,S&P 2010,S&P,16-May-2010,19-May-2010,237,20,8.4%,Oakland,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2010/,IEEE,Google,,,,,,,,,
IEEE Symposium on Security and Privacy,2009,S&P 2009,S&P,17-May-2009,20-May-2009,254,26,10.2%,Oakland,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2009/,IEEE,Google,,,,,,,,,
IEEE Symposium on Security and Privacy,2008,S&P 2008,S&P,18-May-2008,21-May-2008,249,28,11.2%,Oakland,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2008/,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,2007,S&P 2007,S&P,20-May-2007,23-May-2007,246,29,11.8%,Oakland,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2007/,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,2006,S&P 2006,S&P,21-May-2006,24-May-2006,251,32,12.7%,Berkeley,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2006/oakland06-home.html,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,2005,S&P 2005,S&P,8-May-2005,11-May-2005,192,17,8.9%,Oakland,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2005/oakland05.html,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,2004,S&P 2004,S&P,9-May-2004,12-May-2004,186,19,10.2%,Berkeley,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2004/oakland04.html,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,2003,S&P 2003,S&P,11-May-2003,14-May-2003,131,19,14.5%,Berkeley,California,USA,Security,Symposium,www.ieee-security.org/TC/SP2003/Copy-of-SP-2003-cfp.html,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,2002,S&P 2002,S&P,12-May-2002,15-May-2002,95,21,22.1%,Berkeley,California,USA,Security,Symposium,www.ieee-security.org/TC/SP02/sp02index.html,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,2001,S&P 2001,S&P,14-May-2001,16-May-2001,107,19,17.8%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,2000,S&P 2000,S&P,14-May-2000,17-May-2000,137,18,13.1%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1999,S&P 1999,S&P,9-May-1999,12-May-1999,61,15,24.6%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1998,S&P 1998,S&P,3-May-1998,6-May-1998,116,19,16.4%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1997,S&P 1997,S&P,4-May-1997,7-May-1997,110,20,18.2%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1996,S&P 1996,S&P,6-May-1996,8-May-1996,67,20,29.9%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1995,S&P 1995,S&P,8-May-1995,10-May-1995,72,20,27.8%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1994,S&P 1994,S&P,16-May-1994,18-May-1994,65,19,29.2%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1993,S&P 1993,S&P,24-May-1993,26-May-1993,70,17,24.3%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1992,S&P 1992,S&P,4-May-1992,6-May-1992,89,21,23.6%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1991,S&P 1991,S&P,20-May-1991,22-May-1991,92,28,30.4%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1990,S&P 1990,S&P,7-May-1990,9-May-1990,,,,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1989,S&P 1989,S&P,1-May-1989,3-May-1989,,,,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1988,S&P 1988,S&P,18-Apr-1988,21-Apr-1988,,,,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1987,S&P 1987,S&P,27-Apr-1987,29-Apr-1987,,,,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1986,S&P 1986,S&P,7-May-1986,9-May-1986,91,25,27.5%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1985,S&P 1985,S&P,22-Apr-1985,25-Apr-1985,63,25,39.7%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1984,S&P 1984,S&P,29-Apr-1984,2-May-1984,39,25,64.1%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1983,S&P 1983,S&P,25-Apr-1983,29-Apr-1983,34,23,67.6%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1982,S&P 1982,S&P,26-Apr-1982,28-Apr-1982,34,19,55.9%,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1981,S&P 1981,S&P,27-Apr-1981,29-Apr-1981,,18,,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
IEEE Symposium on Security and Privacy,1980,S&P 1980,S&P,14-Apr-1980,16-Apr-1980,,19,,Oakland,California,USA,Security,Symposium,,IEEE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
